Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
None,None,None,2024-02-27,3433,0,0,489,57,0
None,None,None,2024-02-28,3433,0,0,489,57,0
None,None,None,2024-02-29,3433,0,0,489,57,0
None,None,None,2024-03-01,3433,0,0,489,57,0
None,None,None,2024-03-02,3433,0,0,489,57,0
None,None,None,2024-03-03,3433,0,0,489,57,0
None,None,None,2024-03-04,3433,0,0,489,57,0
None,None,None,2024-03-05,3433,0,0,489,57,0
None,None,None,2024-03-06,3433,0,0,489,57,0
None,None,None,2024-03-07,3433,0,0,489,57,0
None,None,None,2024-03-08,3433,0,0,489,57,0
None,None,None,2024-03-09,3433,0,0,489,57,0
None,None,None,2024-03-10,3433,0,0,489,57,0
None,None,None,2024-03-11,3433,0,0,489,57,0
None,None,None,2024-03-12,3433,0,0,489,57,0
None,None,None,2024-03-13,3433,0,0,489,57,0
None,None,None,2024-03-14,3433,0,0,489,57,0
None,None,None,2024-03-15,3433,0,0,489,57,0
None,None,None,2024-03-16,3433,0,0,489,57,0
None,None,None,2024-03-17,3433,0,0,489,57,0
None,None,None,2024-03-18,3433,0,0,489,57,0
None,None,None,2024-03-19,3433,0,0,489,57,0
South America,None,None,2024-02-27,3433,0,0,489,57,0
South America,None,None,2024-02-28,3433,0,0,489,57,0
South America,None,None,2024-02-29,3433,0,0,489,57,0
South America,None,None,2024-03-01,3433,0,0,489,57,0
South America,None,None,2024-03-02,3433,0,0,489,57,0
South America,None,None,2024-03-03,3433,0,0,489,57,0
South America,None,None,2024-03-04,3433,0,0,489,57,0
South America,None,None,2024-03-05,3433,0,0,489,57,0
South America,None,None,2024-03-06,3433,0,0,489,57,0
South America,None,None,2024-03-07,3433,0,0,489,57,0
South America,None,None,2024-03-08,3433,0,0,489,57,0
South America,None,None,2024-03-09,3433,0,0,489,57,0
South America,None,None,2024-03-10,3433,0,0,489,57,0
South America,None,None,2024-03-11,3433,0,0,489,57,0
South America,None,None,2024-03-12,3433,0,0,489,57,0
South America,None,None,2024-03-13,3433,0,0,489,57,0
South America,None,None,2024-03-14,3433,0,0,489,57,0
South America,None,None,2024-03-15,3433,0,0,489,57,0
South America,None,None,2024-03-16,3433,0,0,489,57,0
South America,None,None,2024-03-17,3433,0,0,489,57,0
South America,None,None,2024-03-18,3433,0,0,489,57,0
South America,None,None,2024-03-19,3433,0,0,489,57,0
South America,brasilia,None,2024-02-27,3433,0,0,489,57,0
South America,brasilia,None,2024-02-28,3433,0,0,489,57,0
South America,brasilia,None,2024-02-29,3433,0,0,489,57,0
South America,brasilia,None,2024-03-01,3433,0,0,489,57,0
South America,brasilia,None,2024-03-02,3433,0,0,489,57,0
South America,brasilia,None,2024-03-03,3433,0,0,489,57,0
South America,brasilia,None,2024-03-04,3433,0,0,489,57,0
South America,brasilia,None,2024-03-05,3433,0,0,489,57,0
South America,brasilia,None,2024-03-06,3433,0,0,489,57,0
South America,brasilia,None,2024-03-07,3433,0,0,489,57,0
South America,brasilia,None,2024-03-08,3433,0,0,489,57,0
South America,brasilia,None,2024-03-09,3433,0,0,489,57,0
South America,brasilia,None,2024-03-10,3433,0,0,489,57,0
South America,brasilia,None,2024-03-11,3433,0,0,489,57,0
South America,brasilia,None,2024-03-12,3433,0,0,489,57,0
South America,brasilia,None,2024-03-13,3433,0,0,489,57,0
South America,brasilia,None,2024-03-14,3433,0,0,489,57,0
South America,brasilia,None,2024-03-15,3433,0,0,489,57,0
South America,brasilia,None,2024-03-16,3433,0,0,489,57,0
South America,brasilia,None,2024-03-17,3433,0,0,489,57,0
South America,brasilia,None,2024-03-18,3433,0,0,489,57,0
South America,brasilia,None,2024-03-19,3433,0,0,489,57,0
South America,brasilia,aguas_claras,2024-02-27,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-02-28,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-02-29,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-01,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-02,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-03,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-04,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-05,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-06,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-07,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-08,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-09,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-10,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-11,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-12,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-13,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-14,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-15,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-16,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-17,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-18,139,0,0,21,1,0
South America,brasilia,aguas_claras,2024-03-19,139,0,0,21,1,0
South America,brasilia,brazlandia,2024-02-27,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-02-28,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-02-29,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-01,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-02,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-03,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-04,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-05,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-06,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-07,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-08,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-09,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-10,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-11,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-12,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-13,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-14,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-15,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-16,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-17,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-18,154,0,0,23,2,0
South America,brasilia,brazlandia,2024-03-19,154,0,0,23,2,0
South America,brasilia,ceilandia,2024-02-27,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-02-28,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-02-29,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-01,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-02,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-03,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-04,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-05,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-06,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-07,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-08,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-09,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-10,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-11,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-12,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-13,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-14,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-15,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-16,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-17,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-18,160,0,0,22,3,0
South America,brasilia,ceilandia,2024-03-19,160,0,0,22,3,0
South America,brasilia,gama,2024-02-27,154,0,0,21,3,0
South America,brasilia,gama,2024-02-28,154,0,0,21,3,0
South America,brasilia,gama,2024-02-29,154,0,0,21,3,0
South America,brasilia,gama,2024-03-01,154,0,0,21,3,0
South America,brasilia,gama,2024-03-02,154,0,0,21,3,0
South America,brasilia,gama,2024-03-03,154,0,0,21,3,0
South America,brasilia,gama,2024-03-04,154,0,0,21,3,0
South America,brasilia,gama,2024-03-05,154,0,0,21,3,0
South America,brasilia,gama,2024-03-06,154,0,0,21,3,0
South America,brasilia,gama,2024-03-07,154,0,0,21,3,0
South America,brasilia,gama,2024-03-08,154,0,0,21,3,0
South America,brasilia,gama,2024-03-09,154,0,0,21,3,0
South America,brasilia,gama,2024-03-10,154,0,0,21,3,0
South America,brasilia,gama,2024-03-11,154,0,0,21,3,0
South America,brasilia,gama,2024-03-12,154,0,0,21,3,0
South America,brasilia,gama,2024-03-13,154,0,0,21,3,0
