unique_id,ds,LGBMRegressor
aguas_claras,2024-02-19,21
aguas_claras,2024-02-20,23
aguas_claras,2024-02-21,23
aguas_claras,2024-02-22,19
aguas_claras,2024-02-23,19
aguas_claras,2024-02-24,15
aguas_claras,2024-02-25,13
aguas_claras,2024-02-26,18
aguas_claras,2024-02-27,18
aguas_claras,2024-02-28,17
aguas_claras,2024-02-29,15
aguas_claras,2024-03-01,16
aguas_claras,2024-03-02,14
aguas_claras,2024-03-03,12
aguas_claras,2024-03-04,17
aguas_claras,2024-03-05,17
aguas_claras,2024-03-06,16
aguas_claras,2024-03-07,15
aguas_claras,2024-03-08,16
aguas_claras,2024-03-09,14
aguas_claras,2024-03-10,12
aguas_claras,2024-03-11,17
aguas_claras,2024-03-12,17
aguas_claras,2024-03-13,15
aguas_claras,2024-03-14,15
aguas_claras,2024-03-15,17
aguas_claras,2024-03-16,14
aguas_claras,2024-03-17,13
aguas_claras,2024-03-18,17
aguas_claras,2024-03-19,16
arniqueira,2024-02-19,2
arniqueira,2024-02-20,2
arniqueira,2024-02-21,2
arniqueira,2024-02-22,2
arniqueira,2024-02-23,2
arniqueira,2024-02-24,1
arniqueira,2024-02-25,1
arniqueira,2024-02-26,2
arniqueira,2024-02-27,2
arniqueira,2024-02-28,2
arniqueira,2024-02-29,2
arniqueira,2024-03-01,2
arniqueira,2024-03-02,1
arniqueira,2024-03-03,1
arniqueira,2024-03-04,3
arniqueira,2024-03-05,2
arniqueira,2024-03-06,2
arniqueira,2024-03-07,2
arniqueira,2024-03-08,2
arniqueira,2024-03-09,2
arniqueira,2024-03-10,1
arniqueira,2024-03-11,3
arniqueira,2024-03-12,3
arniqueira,2024-03-13,2
arniqueira,2024-03-14,3
arniqueira,2024-03-15,3
arniqueira,2024-03-16,2
arniqueira,2024-03-17,2
arniqueira,2024-03-18,3
arniqueira,2024-03-19,3
brazlandia,2024-02-18,2
brazlandia,2024-02-19,3
brazlandia,2024-02-20,3
brazlandia,2024-02-21,2
brazlandia,2024-02-22,2
brazlandia,2024-02-23,3
brazlandia,2024-02-24,2
brazlandia,2024-02-25,2
brazlandia,2024-02-26,3
brazlandia,2024-02-27,3
brazlandia,2024-02-28,3
brazlandia,2024-02-29,2
brazlandia,2024-03-01,3
brazlandia,2024-03-02,2
brazlandia,2024-03-03,2
brazlandia,2024-03-04,3
brazlandia,2024-03-05,3
brazlandia,2024-03-06,3
brazlandia,2024-03-07,3
brazlandia,2024-03-08,3
brazlandia,2024-03-09,2
brazlandia,2024-03-10,2
brazlandia,2024-03-11,3
brazlandia,2024-03-12,3
brazlandia,2024-03-13,3
brazlandia,2024-03-14,3
brazlandia,2024-03-15,3
brazlandia,2024-03-16,2
brazlandia,2024-03-17,2
brazlandia,2024-03-18,3
candangolandia,2024-02-17,1
candangolandia,2024-02-18,1
candangolandia,2024-02-19,2
candangolandia,2024-02-20,2
candangolandia,2024-02-21,2
candangolandia,2024-02-22,2
candangolandia,2024-02-23,2
candangolandia,2024-02-24,1
candangolandia,2024-02-25,1
candangolandia,2024-02-26,2
candangolandia,2024-02-27,2
candangolandia,2024-02-28,2
candangolandia,2024-02-29,2
candangolandia,2024-03-01,2
candangolandia,2024-03-02,1
candangolandia,2024-03-03,1
candangolandia,2024-03-04,3
candangolandia,2024-03-05,2
candangolandia,2024-03-06,2
candangolandia,2024-03-07,2
candangolandia,2024-03-08,2
candangolandia,2024-03-09,2
candangolandia,2024-03-10,1
candangolandia,2024-03-11,3
candangolandia,2024-03-12,3
candangolandia,2024-03-13,2
candangolandia,2024-03-14,3
candangolandia,2024-03-15,3
candangolandia,2024-03-16,2
candangolandia,2024-03-17,2
ceilandia,2024-02-19,13
ceilandia,2024-02-20,12
ceilandia,2024-02-21,13
ceilandia,2024-02-22,12
ceilandia,2024-02-23,12
ceilandia,2024-02-24,9
ceilandia,2024-02-25,7
ceilandia,2024-02-26,12
ceilandia,2024-02-27,12
ceilandia,2024-02-28,11
ceilandia,2024-02-29,10
ceilandia,2024-03-01,11
ceilandia,2024-03-02,9
ceilandia,2024-03-03,8
ceilandia,2024-03-04,13
ceilandia,2024-03-05,12
ceilandia,2024-03-06,11
ceilandia,2024-03-07,10
ceilandia,2024-03-08,11
ceilandia,2024-03-09,9
ceilandia,2024-03-10,8
ceilandia,2024-03-11,13
ceilandia,2024-03-12,11
ceilandia,2024-03-13,11
ceilandia,2024-03-14,10
ceilandia,2024-03-15,11
ceilandia,2024-03-16,9
ceilandia,2024-03-17,8
ceilandia,2024-03-18,12
ceilandia,2024-03-19,11
cruzeiro,2024-02-18,2
cruzeiro,2024-02-19,4
cruzeiro,2024-02-20,4
cruzeiro,2024-02-21,4
cruzeiro,2024-02-22,5
cruzeiro,2024-02-23,5
cruzeiro,2024-02-24,3
cruzeiro,2024-02-25,2
cruzeiro,2024-02-26,4
cruzeiro,2024-02-27,4
cruzeiro,2024-02-28,3
cruzeiro,2024-02-29,3
cruzeiro,2024-03-01,3
cruzeiro,2024-03-02,3
cruzeiro,2024-03-03,2
cruzeiro,2024-03-04,4
cruzeiro,2024-03-05,3
cruzeiro,2024-03-06,3
cruzeiro,2024-03-07,3
cruzeiro,2024-03-08,3
cruzeiro,2024-03-09,3
cruzeiro,2024-03-10,2
cruzeiro,2024-03-11,4
cruzeiro,2024-03-12,3
cruzeiro,2024-03-13,3
cruzeiro,2024-03-14,3
cruzeiro,2024-03-15,3
cruzeiro,2024-03-16,3
cruzeiro,2024-03-17,2
cruzeiro,2024-03-18,4
fercal,2024-02-07,2
fercal,2024-02-08,1
fercal,2024-02-09,1
fercal,2024-02-10,1
fercal,2024-02-11,1
fercal,2024-02-12,2
fercal,2024-02-13,2
fercal,2024-02-14,2
fercal,2024-02-15,2
fercal,2024-02-16,2
fercal,2024-02-17,1
fercal,2024-02-18,1
fercal,2024-02-19,2
fercal,2024-02-20,2
fercal,2024-02-21,2
fercal,2024-02-22,2
fercal,2024-02-23,2
fercal,2024-02-24,1
fercal,2024-02-25,1
fercal,2024-02-26,2
fercal,2024-02-27,2
fercal,2024-02-28,2
fercal,2024-02-29,2
fercal,2024-03-01,2
fercal,2024-03-02,1
fercal,2024-03-03,1
fercal,2024-03-04,3
fercal,2024-03-05,2
fercal,2024-03-06,2
fercal,2024-03-07,2
gama,2024-02-19,9
gama,2024-02-20,8
gama,2024-02-21,9
gama,2024-02-22,9
gama,2024-02-23,8
gama,2024-02-24,7
gama,2024-02-25,5
gama,2024-02-26,9
gama,2024-02-27,8
gama,2024-02-28,8
gama,2024-02-29,8
gama,2024-03-01,9
gama,2024-03-02,7
gama,2024-03-03,6
gama,2024-03-04,9
gama,2024-03-05,9
gama,2024-03-06,9
gama,2024-03-07,9
gama,2024-03-08,9
gama,2024-03-09,8
gama,2024-03-10,7
gama,2024-03-11,11
gama,2024-03-12,10
gama,2024-03-13,10
gama,2024-03-14,10
gama,2024-03-15,10
gama,2024-03-16,9
gama,2024-03-17,8
gama,2024-03-18,11
gama,2024-03-19,10
guara,2024-02-19,20
guara,2024-02-20,22
guara,2024-02-21,20
guara,2024-02-22,18
guara,2024-02-23,19
guara,2024-02-24,15
guara,2024-02-25,12
guara,2024-02-26,19
guara,2024-02-27,18
guara,2024-02-28,16
guara,2024-02-29,16
guara,2024-03-01,17
guara,2024-03-02,15
guara,2024-03-03,12
guara,2024-03-04,19
guara,2024-03-05,16
guara,2024-03-06,17
guara,2024-03-07,15
guara,2024-03-08,17
guara,2024-03-09,13
guara,2024-03-10,12
guara,2024-03-11,17
guara,2024-03-12,17
guara,2024-03-13,16
guara,2024-03-14,17
guara,2024-03-15,17
guara,2024-03-16,14
guara,2024-03-17,12
guara,2024-03-18,17
guara,2024-03-19,16
itapoa,2024-02-17,1
itapoa,2024-02-18,1
itapoa,2024-02-19,2
itapoa,2024-02-20,2
itapoa,2024-02-21,2
itapoa,2024-02-22,2
itapoa,2024-02-23,2
itapoa,2024-02-24,1
itapoa,2024-02-25,1
itapoa,2024-02-26,2
itapoa,2024-02-27,2
itapoa,2024-02-28,2
itapoa,2024-02-29,2
itapoa,2024-03-01,2
itapoa,2024-03-02,1
itapoa,2024-03-03,1
itapoa,2024-03-04,3
itapoa,2024-03-05,2
itapoa,2024-03-06,2
itapoa,2024-03-07,2
itapoa,2024-03-08,2
itapoa,2024-03-09,2
itapoa,2024-03-10,1
itapoa,2024-03-11,3
itapoa,2024-03-12,3
itapoa,2024-03-13,2
itapoa,2024-03-14,3
itapoa,2024-03-15,3
itapoa,2024-03-16,2
itapoa,2024-03-17,2
jardim_botanico,2024-02-19,5
jardim_botanico,2024-02-20,5
jardim_botanico,2024-02-21,5
jardim_botanico,2024-02-22,5
jardim_botanico,2024-02-23,5
jardim_botanico,2024-02-24,3
jardim_botanico,2024-02-25,3
jardim_botanico,2024-02-26,4
jardim_botanico,2024-02-27,4
jardim_botanico,2024-02-28,4
jardim_botanico,2024-02-29,3
jardim_botanico,2024-03-01,3
jardim_botanico,2024-03-02,3
jardim_botanico,2024-03-03,2
jardim_botanico,2024-03-04,4
jardim_botanico,2024-03-05,4
jardim_botanico,2024-03-06,3
jardim_botanico,2024-03-07,3
jardim_botanico,2024-03-08,3
jardim_botanico,2024-03-09,3
jardim_botanico,2024-03-10,2
jardim_botanico,2024-03-11,4
jardim_botanico,2024-03-12,3
jardim_botanico,2024-03-13,3
jardim_botanico,2024-03-14,3
jardim_botanico,2024-03-15,3
jardim_botanico,2024-03-16,3
jardim_botanico,2024-03-17,2
jardim_botanico,2024-03-18,4
jardim_botanico,2024-03-19,3
lago_norte,2024-02-19,8
lago_norte,2024-02-20,8
lago_norte,2024-02-21,9
lago_norte,2024-02-22,9
lago_norte,2024-02-23,9
lago_norte,2024-02-24,7
lago_norte,2024-02-25,6
lago_norte,2024-02-26,9
lago_norte,2024-02-27,9
lago_norte,2024-02-28,8
lago_norte,2024-02-29,8
lago_norte,2024-03-01,9
lago_norte,2024-03-02,8
lago_norte,2024-03-03,7
lago_norte,2024-03-04,10
lago_norte,2024-03-05,9
lago_norte,2024-03-06,9
lago_norte,2024-03-07,9
lago_norte,2024-03-08,10
lago_norte,2024-03-09,8
lago_norte,2024-03-10,7
lago_norte,2024-03-11,11
lago_norte,2024-03-12,10
lago_norte,2024-03-13,10
lago_norte,2024-03-14,10
lago_norte,2024-03-15,10
lago_norte,2024-03-16,8
lago_norte,2024-03-17,8
lago_norte,2024-03-18,12
lago_norte,2024-03-19,11
lago_sul,2024-02-19,9
lago_sul,2024-02-20,9
lago_sul,2024-02-21,9
lago_sul,2024-02-22,9
lago_sul,2024-02-23,8
lago_sul,2024-02-24,8
lago_sul,2024-02-25,6
lago_sul,2024-02-26,10
lago_sul,2024-02-27,9
lago_sul,2024-02-28,9
lago_sul,2024-02-29,9
lago_sul,2024-03-01,9
lago_sul,2024-03-02,8
lago_sul,2024-03-03,7
lago_sul,2024-03-04,11
lago_sul,2024-03-05,10
lago_sul,2024-03-06,10
lago_sul,2024-03-07,10
lago_sul,2024-03-08,10
lago_sul,2024-03-09,8
lago_sul,2024-03-10,8
lago_sul,2024-03-11,12
lago_sul,2024-03-12,11
lago_sul,2024-03-13,10
lago_sul,2024-03-14,10
lago_sul,2024-03-15,10
lago_sul,2024-03-16,9
lago_sul,2024-03-17,8
lago_sul,2024-03-18,12
lago_sul,2024-03-19,11
nucleo_bandeirante,2024-02-17,1
nucleo_bandeirante,2024-02-18,1
nucleo_bandeirante,2024-02-19,2
nucleo_bandeirante,2024-02-20,2
nucleo_bandeirante,2024-02-21,2
nucleo_bandeirante,2024-02-22,2
nucleo_bandeirante,2024-02-23,2
nucleo_bandeirante,2024-02-24,2
nucleo_bandeirante,2024-02-25,1
nucleo_bandeirante,2024-02-26,3
nucleo_bandeirante,2024-02-27,3
nucleo_bandeirante,2024-02-28,2
nucleo_bandeirante,2024-02-29,2
nucleo_bandeirante,2024-03-01,2
nucleo_bandeirante,2024-03-02,2
nucleo_bandeirante,2024-03-03,1
nucleo_bandeirante,2024-03-04,3
nucleo_bandeirante,2024-03-05,3
nucleo_bandeirante,2024-03-06,3
nucleo_bandeirante,2024-03-07,3
nucleo_bandeirante,2024-03-08,3
nucleo_bandeirante,2024-03-09,2
nucleo_bandeirante,2024-03-10,2
nucleo_bandeirante,2024-03-11,3
nucleo_bandeirante,2024-03-12,3
nucleo_bandeirante,2024-03-13,3
nucleo_bandeirante,2024-03-14,3
nucleo_bandeirante,2024-03-15,3
nucleo_bandeirante,2024-03-16,2
nucleo_bandeirante,2024-03-17,2
outros_estados,2024-02-19,13
outros_estados,2024-02-20,15
outros_estados,2024-02-21,16
outros_estados,2024-02-22,14
outros_estados,2024-02-23,12
outros_estados,2024-02-24,10
outros_estados,2024-02-25,7
outros_estados,2024-02-26,14
outros_estados,2024-02-27,14
outros_estados,2024-02-28,12
outros_estados,2024-02-29,12
outros_estados,2024-03-01,12
outros_estados,2024-03-02,10
outros_estados,2024-03-03,8
outros_estados,2024-03-04,13
outros_estados,2024-03-05,12
outros_estados,2024-03-06,12
outros_estados,2024-03-07,11
outros_estados,2024-03-08,12
outros_estados,2024-03-09,10
outros_estados,2024-03-10,8
outros_estados,2024-03-11,13
outros_estados,2024-03-12,12
outros_estados,2024-03-13,12
outros_estados,2024-03-14,12
outros_estados,2024-03-15,12
outros_estados,2024-03-16,10
outros_estados,2024-03-17,8
outros_estados,2024-03-18,12
outros_estados,2024-03-19,11
paranoa,2024-02-19,2
paranoa,2024-02-20,2
paranoa,2024-02-21,2
paranoa,2024-02-22,2
paranoa,2024-02-23,2
paranoa,2024-02-24,2
paranoa,2024-02-25,1
paranoa,2024-02-26,3
paranoa,2024-02-27,3
paranoa,2024-02-28,2
paranoa,2024-02-29,2
paranoa,2024-03-01,2
paranoa,2024-03-02,2
paranoa,2024-03-03,1
paranoa,2024-03-04,3
paranoa,2024-03-05,3
paranoa,2024-03-06,3
paranoa,2024-03-07,3
