unique_id,ds,XGBRegressor
aguas_claras,2024-02-19,24
aguas_claras,2024-02-20,22
aguas_claras,2024-02-21,20
aguas_claras,2024-02-22,16
aguas_claras,2024-02-23,18
aguas_claras,2024-02-24,15
aguas_claras,2024-02-25,11
aguas_claras,2024-02-26,20
aguas_claras,2024-02-27,19
aguas_claras,2024-02-28,16
aguas_claras,2024-02-29,13
aguas_claras,2024-03-01,15
aguas_claras,2024-03-02,13
aguas_claras,2024-03-03,10
aguas_claras,2024-03-04,16
aguas_claras,2024-03-05,15
aguas_claras,2024-03-06,14
aguas_claras,2024-03-07,13
aguas_claras,2024-03-08,16
aguas_claras,2024-03-09,12
aguas_claras,2024-03-10,9
aguas_claras,2024-03-11,15
aguas_claras,2024-03-12,15
aguas_claras,2024-03-13,13
aguas_claras,2024-03-14,13
aguas_claras,2024-03-15,14
aguas_claras,2024-03-16,12
aguas_claras,2024-03-17,9
aguas_claras,2024-03-18,15
aguas_claras,2024-03-19,15
arniqueira,2024-02-19,1
arniqueira,2024-02-20,1
arniqueira,2024-02-21,1
arniqueira,2024-02-22,1
arniqueira,2024-02-23,1
arniqueira,2024-02-24,1
arniqueira,2024-02-25,1
arniqueira,2024-02-26,1
arniqueira,2024-02-27,1
arniqueira,2024-02-28,1
arniqueira,2024-02-29,1
arniqueira,2024-03-01,1
arniqueira,2024-03-02,1
arniqueira,2024-03-03,1
arniqueira,2024-03-04,1
arniqueira,2024-03-05,1
arniqueira,2024-03-06,1
arniqueira,2024-03-07,1
arniqueira,2024-03-08,1
arniqueira,2024-03-09,1
arniqueira,2024-03-10,1
arniqueira,2024-03-11,2
arniqueira,2024-03-12,1
arniqueira,2024-03-13,1
arniqueira,2024-03-14,1
arniqueira,2024-03-15,1
arniqueira,2024-03-16,1
arniqueira,2024-03-17,1
arniqueira,2024-03-18,2
arniqueira,2024-03-19,1
brazlandia,2024-02-18,2
brazlandia,2024-02-19,3
brazlandia,2024-02-20,3
brazlandia,2024-02-21,2
brazlandia,2024-02-22,2
brazlandia,2024-02-23,3
brazlandia,2024-02-24,2
brazlandia,2024-02-25,2
brazlandia,2024-02-26,3
brazlandia,2024-02-27,3
brazlandia,2024-02-28,3
brazlandia,2024-02-29,2
brazlandia,2024-03-01,3
brazlandia,2024-03-02,2
brazlandia,2024-03-03,2
brazlandia,2024-03-04,3
brazlandia,2024-03-05,3
brazlandia,2024-03-06,3
brazlandia,2024-03-07,2
brazlandia,2024-03-08,3
brazlandia,2024-03-09,2
brazlandia,2024-03-10,2
brazlandia,2024-03-11,3
brazlandia,2024-03-12,3
brazlandia,2024-03-13,3
brazlandia,2024-03-14,2
brazlandia,2024-03-15,3
brazlandia,2024-03-16,2
brazlandia,2024-03-17,2
brazlandia,2024-03-18,3
candangolandia,2024-02-17,1
candangolandia,2024-02-18,1
candangolandia,2024-02-19,2
candangolandia,2024-02-20,2
candangolandia,2024-02-21,1
candangolandia,2024-02-22,1
candangolandia,2024-02-23,2
candangolandia,2024-02-24,1
candangolandia,2024-02-25,1
candangolandia,2024-02-26,2
candangolandia,2024-02-27,1
candangolandia,2024-02-28,1
candangolandia,2024-02-29,1
candangolandia,2024-03-01,1
candangolandia,2024-03-02,1
candangolandia,2024-03-03,1
candangolandia,2024-03-04,2
candangolandia,2024-03-05,1
candangolandia,2024-03-06,1
candangolandia,2024-03-07,1
candangolandia,2024-03-08,1
candangolandia,2024-03-09,1
candangolandia,2024-03-10,1
candangolandia,2024-03-11,2
candangolandia,2024-03-12,1
candangolandia,2024-03-13,1
candangolandia,2024-03-14,1
candangolandia,2024-03-15,1
candangolandia,2024-03-16,1
candangolandia,2024-03-17,1
ceilandia,2024-02-19,12
ceilandia,2024-02-20,13
ceilandia,2024-02-21,11
ceilandia,2024-02-22,9
ceilandia,2024-02-23,10
ceilandia,2024-02-24,8
ceilandia,2024-02-25,8
ceilandia,2024-02-26,15
ceilandia,2024-02-27,13
ceilandia,2024-02-28,12
ceilandia,2024-02-29,11
ceilandia,2024-03-01,12
ceilandia,2024-03-02,11
ceilandia,2024-03-03,9
ceilandia,2024-03-04,14
ceilandia,2024-03-05,12
ceilandia,2024-03-06,11
ceilandia,2024-03-07,12
ceilandia,2024-03-08,12
ceilandia,2024-03-09,10
ceilandia,2024-03-10,9
ceilandia,2024-03-11,14
ceilandia,2024-03-12,12
ceilandia,2024-03-13,11
ceilandia,2024-03-14,10
ceilandia,2024-03-15,12
ceilandia,2024-03-16,10
ceilandia,2024-03-17,9
ceilandia,2024-03-18,13
ceilandia,2024-03-19,13
cruzeiro,2024-02-18,2
cruzeiro,2024-02-19,4
cruzeiro,2024-02-20,4
cruzeiro,2024-02-21,4
cruzeiro,2024-02-22,4
cruzeiro,2024-02-23,4
cruzeiro,2024-02-24,3
cruzeiro,2024-02-25,3
cruzeiro,2024-02-26,4
cruzeiro,2024-02-27,4
cruzeiro,2024-02-28,4
cruzeiro,2024-02-29,3
cruzeiro,2024-03-01,4
cruzeiro,2024-03-02,3
cruzeiro,2024-03-03,3
cruzeiro,2024-03-04,4
cruzeiro,2024-03-05,4
cruzeiro,2024-03-06,3
cruzeiro,2024-03-07,3
cruzeiro,2024-03-08,4
cruzeiro,2024-03-09,3
cruzeiro,2024-03-10,3
cruzeiro,2024-03-11,4
cruzeiro,2024-03-12,4
cruzeiro,2024-03-13,3
cruzeiro,2024-03-14,3
cruzeiro,2024-03-15,4
cruzeiro,2024-03-16,3
cruzeiro,2024-03-17,3
cruzeiro,2024-03-18,4
fercal,2024-02-07,1
fercal,2024-02-08,1
fercal,2024-02-09,1
fercal,2024-02-10,1
fercal,2024-02-11,1
fercal,2024-02-12,1
fercal,2024-02-13,1
fercal,2024-02-14,1
fercal,2024-02-15,1
fercal,2024-02-16,1
fercal,2024-02-17,1
fercal,2024-02-18,1
fercal,2024-02-19,2
fercal,2024-02-20,1
fercal,2024-02-21,1
fercal,2024-02-22,1
fercal,2024-02-23,1
fercal,2024-02-24,1
fercal,2024-02-25,1
fercal,2024-02-26,2
fercal,2024-02-27,1
fercal,2024-02-28,1
fercal,2024-02-29,1
fercal,2024-03-01,1
fercal,2024-03-02,1
fercal,2024-03-03,1
fercal,2024-03-04,2
fercal,2024-03-05,1
fercal,2024-03-06,1
fercal,2024-03-07,1
gama,2024-02-19,9
gama,2024-02-20,9
gama,2024-02-21,9
gama,2024-02-22,7
gama,2024-02-23,7
gama,2024-02-24,6
gama,2024-02-25,5
gama,2024-02-26,9
gama,2024-02-27,8
gama,2024-02-28,7
gama,2024-02-29,7
gama,2024-03-01,7
gama,2024-03-02,6
gama,2024-03-03,5
gama,2024-03-04,8
gama,2024-03-05,8
gama,2024-03-06,8
gama,2024-03-07,8
gama,2024-03-08,8
gama,2024-03-09,7
gama,2024-03-10,6
gama,2024-03-11,11
gama,2024-03-12,9
gama,2024-03-13,8
gama,2024-03-14,8
gama,2024-03-15,9
gama,2024-03-16,8
gama,2024-03-17,7
gama,2024-03-18,12
gama,2024-03-19,11
guara,2024-02-19,22
guara,2024-02-20,22
guara,2024-02-21,21
guara,2024-02-22,19
guara,2024-02-23,22
guara,2024-02-24,16
guara,2024-02-25,12
guara,2024-02-26,20
guara,2024-02-27,21
guara,2024-02-28,18
guara,2024-02-29,15
guara,2024-03-01,17
guara,2024-03-02,15
guara,2024-03-03,11
guara,2024-03-04,20
guara,2024-03-05,17
guara,2024-03-06,15
guara,2024-03-07,13
guara,2024-03-08,16
guara,2024-03-09,13
guara,2024-03-10,10
guara,2024-03-11,17
guara,2024-03-12,16
guara,2024-03-13,14
guara,2024-03-14,14
guara,2024-03-15,16
guara,2024-03-16,12
guara,2024-03-17,10
guara,2024-03-18,16
guara,2024-03-19,16
itapoa,2024-02-17,1
itapoa,2024-02-18,1
itapoa,2024-02-19,1
itapoa,2024-02-20,1
itapoa,2024-02-21,1
itapoa,2024-02-22,1
itapoa,2024-02-23,1
itapoa,2024-02-24,1
itapoa,2024-02-25,1
itapoa,2024-02-26,2
itapoa,2024-02-27,1
itapoa,2024-02-28,1
itapoa,2024-02-29,1
itapoa,2024-03-01,1
itapoa,2024-03-02,1
itapoa,2024-03-03,1
itapoa,2024-03-04,2
itapoa,2024-03-05,1
itapoa,2024-03-06,1
itapoa,2024-03-07,1
itapoa,2024-03-08,1
itapoa,2024-03-09,1
itapoa,2024-03-10,1
itapoa,2024-03-11,2
itapoa,2024-03-12,1
itapoa,2024-03-13,1
itapoa,2024-03-14,1
itapoa,2024-03-15,1
itapoa,2024-03-16,1
itapoa,2024-03-17,1
jardim_botanico,2024-02-19,5
jardim_botanico,2024-02-20,5
jardim_botanico,2024-02-21,5
jardim_botanico,2024-02-22,5
jardim_botanico,2024-02-23,5
jardim_botanico,2024-02-24,4
jardim_botanico,2024-02-25,3
jardim_botanico,2024-02-26,5
jardim_botanico,2024-02-27,4
jardim_botanico,2024-02-28,4
jardim_botanico,2024-02-29,4
jardim_botanico,2024-03-01,4
jardim_botanico,2024-03-02,4
jardim_botanico,2024-03-03,3
jardim_botanico,2024-03-04,5
jardim_botanico,2024-03-05,4
jardim_botanico,2024-03-06,4
jardim_botanico,2024-03-07,3
jardim_botanico,2024-03-08,4
jardim_botanico,2024-03-09,3
jardim_botanico,2024-03-10,3
jardim_botanico,2024-03-11,4
jardim_botanico,2024-03-12,4
jardim_botanico,2024-03-13,3
jardim_botanico,2024-03-14,3
jardim_botanico,2024-03-15,3
jardim_botanico,2024-03-16,3
jardim_botanico,2024-03-17,3
jardim_botanico,2024-03-18,4
jardim_botanico,2024-03-19,4
lago_norte,2024-02-19,9
lago_norte,2024-02-20,8
lago_norte,2024-02-21,10
lago_norte,2024-02-22,9
lago_norte,2024-02-23,8
lago_norte,2024-02-24,7
lago_norte,2024-02-25,6
lago_norte,2024-02-26,9
lago_norte,2024-02-27,9
lago_norte,2024-02-28,8
lago_norte,2024-02-29,8
lago_norte,2024-03-01,8
lago_norte,2024-03-02,7
lago_norte,2024-03-03,6
lago_norte,2024-03-04,11
lago_norte,2024-03-05,9
lago_norte,2024-03-06,9
lago_norte,2024-03-07,8
lago_norte,2024-03-08,9
lago_norte,2024-03-09,8
lago_norte,2024-03-10,7
lago_norte,2024-03-11,13
lago_norte,2024-03-12,13
lago_norte,2024-03-13,11
lago_norte,2024-03-14,9
lago_norte,2024-03-15,11
lago_norte,2024-03-16,10
lago_norte,2024-03-17,8
lago_norte,2024-03-18,14
lago_norte,2024-03-19,13
lago_sul,2024-02-19,11
lago_sul,2024-02-20,10
lago_sul,2024-02-21,10
lago_sul,2024-02-22,8
lago_sul,2024-02-23,9
lago_sul,2024-02-24,8
lago_sul,2024-02-25,7
lago_sul,2024-02-26,12
lago_sul,2024-02-27,13
lago_sul,2024-02-28,12
lago_sul,2024-02-29,10
lago_sul,2024-03-01,11
lago_sul,2024-03-02,9
lago_sul,2024-03-03,8
lago_sul,2024-03-04,14
lago_sul,2024-03-05,13
lago_sul,2024-03-06,12
lago_sul,2024-03-07,12
lago_sul,2024-03-08,12
lago_sul,2024-03-09,12
lago_sul,2024-03-10,9
lago_sul,2024-03-11,15
lago_sul,2024-03-12,14
lago_sul,2024-03-13,14
lago_sul,2024-03-14,14
lago_sul,2024-03-15,16
lago_sul,2024-03-16,12
lago_sul,2024-03-17,9
lago_sul,2024-03-18,17
lago_sul,2024-03-19,17
nucleo_bandeirante,2024-02-17,2
nucleo_bandeirante,2024-02-18,2
nucleo_bandeirante,2024-02-19,2
nucleo_bandeirante,2024-02-20,2
nucleo_bandeirante,2024-02-21,3
nucleo_bandeirante,2024-02-22,2
nucleo_bandeirante,2024-02-23,3
nucleo_bandeirante,2024-02-24,2
nucleo_bandeirante,2024-02-25,2
nucleo_bandeirante,2024-02-26,3
nucleo_bandeirante,2024-02-27,3
nucleo_bandeirante,2024-02-28,3
nucleo_bandeirante,2024-02-29,2
nucleo_bandeirante,2024-03-01,3
nucleo_bandeirante,2024-03-02,2
nucleo_bandeirante,2024-03-03,2
nucleo_bandeirante,2024-03-04,3
nucleo_bandeirante,2024-03-05,3
nucleo_bandeirante,2024-03-06,3
nucleo_bandeirante,2024-03-07,2
nucleo_bandeirante,2024-03-08,3
nucleo_bandeirante,2024-03-09,2
nucleo_bandeirante,2024-03-10,2
nucleo_bandeirante,2024-03-11,3
nucleo_bandeirante,2024-03-12,3
nucleo_bandeirante,2024-03-13,3
nucleo_bandeirante,2024-03-14,2
nucleo_bandeirante,2024-03-15,3
nucleo_bandeirante,2024-03-16,2
nucleo_bandeirante,2024-03-17,2
outros_estados,2024-02-19,10
outros_estados,2024-02-20,10
outros_estados,2024-02-21,10
outros_estados,2024-02-22,7
outros_estados,2024-02-23,9
outros_estados,2024-02-24,7
outros_estados,2024-02-25,6
outros_estados,2024-02-26,11
outros_estados,2024-02-27,9
outros_estados,2024-02-28,8
outros_estados,2024-02-29,8
outros_estados,2024-03-01,9
outros_estados,2024-03-02,8
outros_estados,2024-03-03,6
outros_estados,2024-03-04,11
outros_estados,2024-03-05,9
outros_estados,2024-03-06,8
outros_estados,2024-03-07,8
outros_estados,2024-03-08,9
outros_estados,2024-03-09,8
outros_estados,2024-03-10,6
outros_estados,2024-03-11,10
outros_estados,2024-03-12,10
outros_estados,2024-03-13,9
outros_estados,2024-03-14,8
outros_estados,2024-03-15,9
outros_estados,2024-03-16,8
outros_estados,2024-03-17,6
outros_estados,2024-03-18,10
outros_estados,2024-03-19,9
paranoa,2024-02-19,2
paranoa,2024-02-20,2
paranoa,2024-02-21,2
paranoa,2024-02-22,2
paranoa,2024-02-23,2
paranoa,2024-02-24,2
paranoa,2024-02-25,2
paranoa,2024-02-26,3
paranoa,2024-02-27,3
paranoa,2024-02-28,2
paranoa,2024-02-29,2
paranoa,2024-03-01,2
paranoa,2024-03-02,2
paranoa,2024-03-03,2
paranoa,2024-03-04,3
paranoa,2024-03-05,3
paranoa,2024-03-06,2
paranoa,2024-03-07,2
paranoa,2024-03-08,2
paranoa,2024-03-09,2
paranoa,2024-03-10,2
paranoa,2024-03-11,3
paranoa,2024-03-12,3
paranoa,2024-03-13,2
paranoa,2024-03-14,2
paranoa,2024-03-15,2
paranoa,2024-03-16,2
paranoa,2024-03-17,2
paranoa,2024-03-18,3
paranoa,2024-03-19,3
park_way,2024-02-19,3
park_way,2024-02-20,3
park_way,2024-02-21,3
park_way,2024-02-22,2
park_way,2024-02-23,2
park_way,2024-02-24,2
park_way,2024-02-25,2
park_way,2024-02-26,3
park_way,2024-02-27,3
park_way,2024-02-28,3
park_way,2024-02-29,2
park_way,2024-03-01,3
park_way,2024-03-02,2
park_way,2024-03-03,2
park_way,2024-03-04,3
park_way,2024-03-05,3
park_way,2024-03-06,3
park_way,2024-03-07,2
park_way,2024-03-08,3
park_way,2024-03-09,2
park_way,2024-03-10,2
park_way,2024-03-11,3
park_way,2024-03-12,3
park_way,2024-03-13,3
park_way,2024-03-14,2
park_way,2024-03-15,3
park_way,2024-03-16,2
park_way,2024-03-17,2
park_way,2024-03-18,3
park_way,2024-03-19,3
planaltina,2024-02-19,8
planaltina,2024-02-20,8
planaltina,2024-02-21,8
planaltina,2024-02-22,7
planaltina,2024-02-23,7
planaltina,2024-02-24,7
planaltina,2024-02-25,6
planaltina,2024-02-26,10
planaltina,2024-02-27,9
planaltina,2024-02-28,8
planaltina,2024-02-29,7
planaltina,2024-03-01,8
planaltina,2024-03-02,7
planaltina,2024-03-03,6
planaltina,2024-03-04,11
planaltina,2024-03-05,9
planaltina,2024-03-06,9
planaltina,2024-03-07,9
planaltina,2024-03-08,10
planaltina,2024-03-09,8
planaltina,2024-03-10,7
planaltina,2024-03-11,14
planaltina,2024-03-12,13
planaltina,2024-03-13,12
planaltina,2024-03-14,11
planaltina,2024-03-15,12
planaltina,2024-03-16,10
planaltina,2024-03-17,8
planaltina,2024-03-18,13
planaltina,2024-03-19,13
plano_piloto,2024-02-19,60
plano_piloto,2024-02-20,54
plano_piloto,2024-02-21,43
plano_piloto,2024-02-22,43
plano_piloto,2024-02-23,41
plano_piloto,2024-02-24,31
plano_piloto,2024-02-25,21
plano_piloto,2024-02-26,43
plano_piloto,2024-02-27,39
plano_piloto,2024-02-28,35
plano_piloto,2024-02-29,31
plano_piloto,2024-03-01,34
plano_piloto,2024-03-02,31
plano_piloto,2024-03-03,25
plano_piloto,2024-03-04,46
plano_piloto,2024-03-05,40
plano_piloto,2024-03-06,35
plano_piloto,2024-03-07,31
plano_piloto,2024-03-08,35
plano_piloto,2024-03-09,30
plano_piloto,2024-03-10,24
plano_piloto,2024-03-11,41
plano_piloto,2024-03-12,39
plano_piloto,2024-03-13,35
plano_piloto,2024-03-14,30
plano_piloto,2024-03-15,36
plano_piloto,2024-03-16,31
plano_piloto,2024-03-17,25
plano_piloto,2024-03-18,47
plano_piloto,2024-03-19,42
por_do_sol,2024-02-17,1
por_do_sol,2024-02-18,1
por_do_sol,2024-02-19,1
por_do_sol,2024-02-20,1
por_do_sol,2024-02-21,1
por_do_sol,2024-02-22,1
por_do_sol,2024-02-23,1
por_do_sol,2024-02-24,1
por_do_sol,2024-02-25,1
por_do_sol,2024-02-26,1
por_do_sol,2024-02-27,1
por_do_sol,2024-02-28,1
por_do_sol,2024-02-29,1
por_do_sol,2024-03-01,1
por_do_sol,2024-03-02,1
por_do_sol,2024-03-03,1
por_do_sol,2024-03-04,2
por_do_sol,2024-03-05,1
por_do_sol,2024-03-06,1
por_do_sol,2024-03-07,1
por_do_sol,2024-03-08,1
por_do_sol,2024-03-09,1
por_do_sol,2024-03-10,1
por_do_sol,2024-03-11,2
por_do_sol,2024-03-12,1
por_do_sol,2024-03-13,1
por_do_sol,2024-03-14,1
por_do_sol,2024-03-15,1
por_do_sol,2024-03-16,1
por_do_sol,2024-03-17,1
recanto_das_emas,2024-02-18,2
recanto_das_emas,2024-02-19,3
recanto_das_emas,2024-02-20,3
recanto_das_emas,2024-02-21,3
recanto_das_emas,2024-02-22,3
recanto_das_emas,2024-02-23,3
recanto_das_emas,2024-02-24,3
recanto_das_emas,2024-02-25,2
