unique_id,ds,XGBRegressor
aguas_claras,2024-02-19,22
aguas_claras,2024-02-20,25
aguas_claras,2024-02-21,23
aguas_claras,2024-02-22,21
aguas_claras,2024-02-23,22
aguas_claras,2024-02-24,18
aguas_claras,2024-02-25,16
aguas_claras,2024-02-26,28
aguas_claras,2024-02-27,30
aguas_claras,2024-02-28,23
aguas_claras,2024-02-29,23
aguas_claras,2024-03-01,23
aguas_claras,2024-03-02,21
aguas_claras,2024-03-03,21
aguas_claras,2024-03-04,33
aguas_claras,2024-03-05,31
aguas_claras,2024-03-06,26
aguas_claras,2024-03-07,22
aguas_claras,2024-03-08,23
aguas_claras,2024-03-09,19
aguas_claras,2024-03-10,18
aguas_claras,2024-03-11,31
aguas_claras,2024-03-12,25
aguas_claras,2024-03-13,22
aguas_claras,2024-03-14,20
aguas_claras,2024-03-15,21
aguas_claras,2024-03-16,17
aguas_claras,2024-03-17,16
aguas_claras,2024-03-18,25
aguas_claras,2024-03-19,23
aguas_claras,2024-03-20,18
aguas_claras,2024-03-21,17
aguas_claras,2024-03-22,18
aguas_claras,2024-03-23,17
aguas_claras,2024-03-24,15
aguas_claras,2024-03-25,19
aguas_claras,2024-03-26,18
aguas_claras,2024-03-27,18
aguas_claras,2024-03-28,16
aguas_claras,2024-03-29,17
aguas_claras,2024-03-30,15
aguas_claras,2024-03-31,13
aguas_claras,2024-04-01,16
aguas_claras,2024-04-02,15
aguas_claras,2024-04-03,15
aguas_claras,2024-04-04,14
aguas_claras,2024-04-05,15
aguas_claras,2024-04-06,12
aguas_claras,2024-04-07,10
aguas_claras,2024-04-08,15
aguas_claras,2024-04-09,15
aguas_claras,2024-04-10,15
aguas_claras,2024-04-11,14
aguas_claras,2024-04-12,15
aguas_claras,2024-04-13,13
aguas_claras,2024-04-14,10
aguas_claras,2024-04-15,16
aguas_claras,2024-04-16,15
aguas_claras,2024-04-17,15
aguas_claras,2024-04-18,14
arniqueira,2024-02-19,1
arniqueira,2024-02-20,1
arniqueira,2024-02-21,1
arniqueira,2024-02-22,1
arniqueira,2024-02-23,1
arniqueira,2024-02-24,1
arniqueira,2024-02-25,1
arniqueira,2024-02-26,2
arniqueira,2024-02-27,2
arniqueira,2024-02-28,2
arniqueira,2024-02-29,2
arniqueira,2024-03-01,2
arniqueira,2024-03-02,1
arniqueira,2024-03-03,1
arniqueira,2024-03-04,2
arniqueira,2024-03-05,2
arniqueira,2024-03-06,2
arniqueira,2024-03-07,2
arniqueira,2024-03-08,2
arniqueira,2024-03-09,1
arniqueira,2024-03-10,1
arniqueira,2024-03-11,2
arniqueira,2024-03-12,2
arniqueira,2024-03-13,2
arniqueira,2024-03-14,2
arniqueira,2024-03-15,2
arniqueira,2024-03-16,1
arniqueira,2024-03-17,1
arniqueira,2024-03-18,2
arniqueira,2024-03-19,2
arniqueira,2024-03-20,2
arniqueira,2024-03-21,2
arniqueira,2024-03-22,2
arniqueira,2024-03-23,1
arniqueira,2024-03-24,1
arniqueira,2024-03-25,2
arniqueira,2024-03-26,2
arniqueira,2024-03-27,2
arniqueira,2024-03-28,2
arniqueira,2024-03-29,2
arniqueira,2024-03-30,1
arniqueira,2024-03-31,1
arniqueira,2024-04-01,2
arniqueira,2024-04-02,2
arniqueira,2024-04-03,2
arniqueira,2024-04-04,2
arniqueira,2024-04-05,2
arniqueira,2024-04-06,1
arniqueira,2024-04-07,1
arniqueira,2024-04-08,2
arniqueira,2024-04-09,2
arniqueira,2024-04-10,2
arniqueira,2024-04-11,2
arniqueira,2024-04-12,2
arniqueira,2024-04-13,1
arniqueira,2024-04-14,1
arniqueira,2024-04-15,2
arniqueira,2024-04-16,2
arniqueira,2024-04-17,2
arniqueira,2024-04-18,2
brazlandia,2024-02-18,2
brazlandia,2024-02-19,3
brazlandia,2024-02-20,3
brazlandia,2024-02-21,3
brazlandia,2024-02-22,2
brazlandia,2024-02-23,3
brazlandia,2024-02-24,3
brazlandia,2024-02-25,2
brazlandia,2024-02-26,3
brazlandia,2024-02-27,3
brazlandia,2024-02-28,3
brazlandia,2024-02-29,3
brazlandia,2024-03-01,3
brazlandia,2024-03-02,2
brazlandia,2024-03-03,2
brazlandia,2024-03-04,3
brazlandia,2024-03-05,3
brazlandia,2024-03-06,3
brazlandia,2024-03-07,3
brazlandia,2024-03-08,3
brazlandia,2024-03-09,2
brazlandia,2024-03-10,2
brazlandia,2024-03-11,3
brazlandia,2024-03-12,3
brazlandia,2024-03-13,3
brazlandia,2024-03-14,3
brazlandia,2024-03-15,3
brazlandia,2024-03-16,2
brazlandia,2024-03-17,2
brazlandia,2024-03-18,3
brazlandia,2024-03-19,3
brazlandia,2024-03-20,3
brazlandia,2024-03-21,3
brazlandia,2024-03-22,3
brazlandia,2024-03-23,2
brazlandia,2024-03-24,2
brazlandia,2024-03-25,3
brazlandia,2024-03-26,3
brazlandia,2024-03-27,3
brazlandia,2024-03-28,3
brazlandia,2024-03-29,3
brazlandia,2024-03-30,2
brazlandia,2024-03-31,2
brazlandia,2024-04-01,3
brazlandia,2024-04-02,3
brazlandia,2024-04-03,3
brazlandia,2024-04-04,3
brazlandia,2024-04-05,3
brazlandia,2024-04-06,2
brazlandia,2024-04-07,2
brazlandia,2024-04-08,3
brazlandia,2024-04-09,3
brazlandia,2024-04-10,3
brazlandia,2024-04-11,3
brazlandia,2024-04-12,3
brazlandia,2024-04-13,2
brazlandia,2024-04-14,2
brazlandia,2024-04-15,3
brazlandia,2024-04-16,3
brazlandia,2024-04-17,3
candangolandia,2024-02-17,1
candangolandia,2024-02-18,1
candangolandia,2024-02-19,2
candangolandia,2024-02-20,1
candangolandia,2024-02-21,1
candangolandia,2024-02-22,1
candangolandia,2024-02-23,2
candangolandia,2024-02-24,1
candangolandia,2024-02-25,1
candangolandia,2024-02-26,2
candangolandia,2024-02-27,2
candangolandia,2024-02-28,2
candangolandia,2024-02-29,2
candangolandia,2024-03-01,2
candangolandia,2024-03-02,1
candangolandia,2024-03-03,1
candangolandia,2024-03-04,2
candangolandia,2024-03-05,2
candangolandia,2024-03-06,2
candangolandia,2024-03-07,2
candangolandia,2024-03-08,2
candangolandia,2024-03-09,1
candangolandia,2024-03-10,1
candangolandia,2024-03-11,2
candangolandia,2024-03-12,2
candangolandia,2024-03-13,2
candangolandia,2024-03-14,2
candangolandia,2024-03-15,2
candangolandia,2024-03-16,1
candangolandia,2024-03-17,1
candangolandia,2024-03-18,2
candangolandia,2024-03-19,2
candangolandia,2024-03-20,2
candangolandia,2024-03-21,2
candangolandia,2024-03-22,2
candangolandia,2024-03-23,1
candangolandia,2024-03-24,1
candangolandia,2024-03-25,2
candangolandia,2024-03-26,2
candangolandia,2024-03-27,2
candangolandia,2024-03-28,2
candangolandia,2024-03-29,2
candangolandia,2024-03-30,1
candangolandia,2024-03-31,1
candangolandia,2024-04-01,2
candangolandia,2024-04-02,2
candangolandia,2024-04-03,2
candangolandia,2024-04-04,2
candangolandia,2024-04-05,2
candangolandia,2024-04-06,1
candangolandia,2024-04-07,1
candangolandia,2024-04-08,2
candangolandia,2024-04-09,2
candangolandia,2024-04-10,2
candangolandia,2024-04-11,2
candangolandia,2024-04-12,2
candangolandia,2024-04-13,1
candangolandia,2024-04-14,1
candangolandia,2024-04-15,2
candangolandia,2024-04-16,2
