unique_id,ds,XGBRegressor,y
aguas_claras,2023-12-18,3.1054697,3.0
aguas_claras,2023-12-19,2.717628,3.0
aguas_claras,2023-12-20,2.4637966,2.0
aguas_claras,2023-12-21,2.4160037,3.0
aguas_claras,2023-12-22,2.3799806,2.0
aguas_claras,2023-12-23,2.2119439,3.0
aguas_claras,2023-12-24,2.2157829,0.0
aguas_claras,2023-12-25,3.1734743,2.0
aguas_claras,2023-12-26,2.9505572,6.0
aguas_claras,2023-12-27,2.679021,3.0
aguas_claras,2023-12-28,2.6968508,3.0
aguas_claras,2023-12-29,2.5885272,0.0
aguas_claras,2023-12-30,2.3155816,3.0
aguas_claras,2023-12-31,2.040602,1.0
aguas_claras,2024-01-01,3.7409205,1.0
aguas_claras,2024-01-02,3.7809176,1.0
aguas_claras,2024-01-03,4.0535374,1.0
aguas_claras,2024-01-04,3.218515,5.0
aguas_claras,2024-01-05,3.757208,4.0
aguas_claras,2024-01-06,3.6023824,1.0
aguas_claras,2024-01-07,3.5426426,2.0
aguas_claras,2024-01-08,4.5697207,7.0
aguas_claras,2024-01-09,4.845418,6.0
aguas_claras,2024-01-10,4.2407084,3.0
aguas_claras,2024-01-11,5.0452404,3.0
aguas_claras,2024-01-12,5.173598,3.0
aguas_claras,2024-01-13,4.506467,5.0
aguas_claras,2024-01-14,4.1020083,2.0
aguas_claras,2024-01-15,5.639334,5.0
aguas_claras,2024-01-16,5.2380915,4.0
aguas_claras,2024-01-17,5.92994,8.0
aguas_claras,2024-01-18,5.3152533,8.0
aguas_claras,2024-01-19,5.4765697,4.0
aguas_claras,2024-01-20,5.5056324,4.0
aguas_claras,2024-01-21,4.5022607,3.0
aguas_claras,2024-01-22,6.3193784,6.0
aguas_claras,2024-01-23,6.348627,2.0
aguas_claras,2024-01-24,6.336364,10.0
aguas_claras,2024-01-25,6.3200407,5.0
aguas_claras,2024-01-26,6.7276464,6.0
aguas_claras,2024-01-27,6.245182,4.0
aguas_claras,2024-01-28,5.397309,1.0
aguas_claras,2024-01-29,7.820114,8.0
aguas_claras,2024-01-30,7.5283713,9.0
aguas_claras,2024-01-31,7.326513,11.0
aguas_claras,2024-02-01,6.676706,13.0
aguas_claras,2024-02-02,6.814103,14.0
aguas_claras,2024-02-03,6.041104,6.0
aguas_claras,2024-02-04,5.0211735,6.0
aguas_claras,2024-02-05,7.837146,12.0
aguas_claras,2024-02-06,6.73854,21.0
aguas_claras,2024-02-07,6.2732434,18.0
aguas_claras,2024-02-08,6.295113,23.0
aguas_claras,2024-02-09,6.575553,16.0
aguas_claras,2024-02-10,5.64706,13.0
aguas_claras,2024-02-11,4.6898584,3.0
aguas_claras,2024-02-12,7.4754167,10.0
aguas_claras,2024-02-13,6.6240044,13.0
aguas_claras,2024-02-14,6.025915,30.0
aguas_claras,2024-02-15,5.981848,31.0
aguas_claras,2024-02-16,6.1071267,31.0
aguas_claras,2024-02-17,5.4831114,18.0
aguas_claras,2024-02-18,4.42884,12.0
arniqueira,2023-12-02,1.4879012,0.0
arniqueira,2023-12-03,1.425936,0.0
arniqueira,2023-12-04,1.9298244,0.0
arniqueira,2023-12-05,1.6783233,0.0
arniqueira,2023-12-06,1.6698799,0.0
arniqueira,2023-12-07,1.7209771,0.0
arniqueira,2023-12-08,1.6614938,0.0
arniqueira,2023-12-09,1.5837269,0.0
arniqueira,2023-12-10,1.3981607,0.0
arniqueira,2023-12-11,2.1512275,0.0
arniqueira,2023-12-12,1.9173949,0.0
arniqueira,2023-12-13,1.8385305,0.0
arniqueira,2023-12-14,1.8518903,0.0
arniqueira,2023-12-15,1.7924078,0.0
arniqueira,2023-12-16,1.6193106,0.0
arniqueira,2023-12-17,1.4872408,0.0
arniqueira,2023-12-18,2.1964116,0.0
arniqueira,2023-12-19,1.9473205,0.0
arniqueira,2023-12-20,1.880399,0.0
arniqueira,2023-12-21,1.8518903,0.0
arniqueira,2023-12-22,1.7924078,1.0
arniqueira,2023-12-23,1.6193106,0.0
arniqueira,2023-12-24,1.4872408,0.0
arniqueira,2023-12-25,2.0993695,0.0
arniqueira,2023-12-26,1.9473205,0.0
arniqueira,2023-12-27,1.880399,1.0
arniqueira,2023-12-28,1.8518903,0.0
arniqueira,2023-12-29,1.8342767,0.0
arniqueira,2023-12-30,1.6193106,0.0
arniqueira,2023-12-31,1.4511528,1.0
arniqueira,2024-01-01,2.4394455,0.0
arniqueira,2024-01-02,2.038354,0.0
arniqueira,2024-01-03,2.00949,0.0
arniqueira,2024-01-04,1.99676,0.0
